id;name;images
13;Hearthstone;[{'url': 'https://images.start.gg/images/videogame/13/image-e0d18ce0499f067f4377e28883f957d1.jpg?ehk=rcxE37tj%2FWM2RaGhm1FwAu5GCN11222YaZ1IkWYfpw0%3D&ehkOptimized=o5AgbBJDmTOpxhJxI%2Bzr74Ry2qLItBLyqjk%2BUTAfd0Q%3D'}, {'url': 'https://images.start.gg/images/videogame/13/image-14c23ec38f02ec8557c9e0d921ed4f40.png?ehk=XS7xfDZ4R3UntaijOkOCMa%2BDX%2B2Ugf7Hyayjo5ZYwF8%3D&ehkOptimized=7JM4sSl597k4%2Fn7jIK5jb8m5TIZ8GnAwJ81DofOVbnQ%3D'}]
14;Rocket League;[{'url': 'https://images.start.gg/images/videogame/14/image-c9083bae5a162d24291bd91215acf83c.jpg?ehk=XDMLbdLsmqhCbIGWQFxmW%2B%2FBVmQwR6Yipp%2F3rew5G18%3D&ehkOptimized=hgpC4xrT9w3z9%2FMUNA5wU9DFtp6y0K58JoULvRWW0%2FI%3D'}, {'url': 'https://images.start.gg/images/videogame/14/image-80646c06ea89fe609977dbdc47867b02.png?ehk=4%2B5YZaThh9d4sOvgc2W%2BeWKgI5Lz5ZRizhXejtGBwsU%3D&ehkOptimized=K4fix%2B59QTNCxJ3COZp%2FrR5OirKn948bkdv7gBkhB4M%3D'}]
15;Brawlhalla;[{'url': 'https://images.start.gg/images/videogame/15/image-d3c7cf78ab10a354f40899fdff4ed03a.jpg?ehk=fCtgNGok%2Fb3%2FgK82eI9gANesIuteefLUjwH0Fls%2Becg%3D&ehkOptimized=KDzpOYJcvGeHhM%2BdKUKIsOr82oCHIvC5LjljdDkAqrk%3D'}, {'url': 'https://images.start.gg/images/videogame/15/image-ab3a2fa5fae37fb461fc09bb20afffa6.png?ehk=ha78%2FoGH4Q2LvzeCK7HuF3wu3TfhIXh6AEE5jPsAsyc%3D&ehkOptimized=kqvGK1LWBjAgu0EzYgrYSnunoUvNiPV0upU2Arr2MHs%3D'}]
16;Ultra Street Fighter IV;[{'url': 'https://images.start.gg/images/videogame/16/image-79bd5d0da86f14468133d6417fa08c64.jpg?ehk=NKfhy0fpH1fm9S8yEwZz6V51Uug03H6qNg%2FPy13dbLQ%3D&ehkOptimized=tW1PWeHym3crVJqhv1fBDdd27qvTHxrl58%2BFdlQhQBs%3D'}, {'url': 'https://images.start.gg/images/videogame/16/image-471e7b597a9671d6ad5320a3af86a98b.png?ehk=8R3CN2qQ%2ByQCsxb4BL0m5MqCGl84ZJjPykeMOkpD5uo%3D&ehkOptimized=64KgsDNReLruRh%2Bg0mOfCKkhQx81aUv2OorHmDQK9Gg%3D'}]
17;TEKKEN 7;[{'url': 'https://images.start.gg/images/videogame/17/image-20626d26aca9e7d5b243d594b499ee1a.jpg?ehk=1g1iB0oQlYu58BIODNjg0FgMS%2Bac4ZUyEKKUjBljecc%3D&ehkOptimized=9jpOsQIMFUMxgz4YCdZPe%2FwrsqQIo7ZM%2BiR6ogFlR%2Bw%3D'}, {'url': 'https://images.start.gg/images/videogame/17/image-b79c8aa56adcaed914b31beb92ecc49c.png?ehk=YmumQjBfD%2BDC74fzL1A4yYt3woQM9xKuG8BSLasSUwI%3D&ehkOptimized=iAqtHf8nI2Ez%2BfGBqMztoYc9Wxf9p1c513z7LasGPWg%3D'}]
18;Ultimate Marvel vs Capcom 3;[{'url': 'https://images.start.gg/images/videogame/18/image-649d649d2f4867db25eefe7df2b8b4b6.jpg?ehk=T5TAi9i9BBTuR02qpm8E3KdWVtDlicDvFVGFyFQtKAk%3D&ehkOptimized=PMl2oMX%2F8U%2FJPHMPPwysSydYSPqLi0kjNj1K34m6F5k%3D'}, {'url': 'https://images.start.gg/images/videogame/18/image-0b3d182de5f9fff3a5529d33ac47f972.png?ehk=i2kenGoTwLko8gcCPdDrq1SrAqAv6%2BQBh4HdVoRRQfg%3D&ehkOptimized=ap9oyKICL7oYe482xNdSUcPsyF4DISoDcXAGIi53VIU%3D'}]
19;Killer Instinct;[{'url': 'https://images.start.gg/images/videogame/19/image-d25f4f5f5fa0d58ace094c374620454a.jpg?ehk=n5aBr5TC%2FpJR8eZ3A0eWQP4V2eBDjcuwVnkffeXj8oQ%3D&ehkOptimized=PJLsQqDLQMMCbexRBwNofnXtKz1Ej3XG5ZtN%2FbNnaBM%3D'}, {'url': 'https://images.start.gg/images/videogame/19/image-47134f3f08d739116b489b69db046835.png?ehk=TlaI03pkTL5OfqKzC%2F17S1%2BCY8SeXdCHt0x48JXD36U%3D&ehkOptimized=JwHsros6etAW4tsGKq8%2Bi7RG20Cmgocau0OjuubkA2E%3D'}]
20;Splatoon;[{'url': 'https://images.start.gg/images/videogame/20/image-380ae0e66bdeeb6317c5d2750f979537.jpg?ehk=vYHeupEb5lNizcxc3RmuzDR8U3pkgFQamSLgHmIXyx8%3D&ehkOptimized=TTgkjyeJAMe5%2FAdGQnVuox6MfZ3xNJa02KkEX%2Bhr1MY%3D'}, {'url': 'https://images.start.gg/images/videogame/20/image-a8031dc8f7f70aa10386c059fe36fde8.png?ehk=%2Fp3Dv7TWamP5aIkamVeIr2PPT16rppKOqshUn95UTwA%3D&ehkOptimized=PATdPjGSFVVYaryiEKhmpEuTfSKDRHAhvUESpjha6HE%3D'}]
21;Guilty Gear Xrd;[{'url': 'https://images.start.gg/images/videogame/21/image-20d97a8b5ad1bf165a4293a0da15227c.png?ehk=YJo7edFq%2Btig7GWTjREt31RbBU7tztsh5hZnSxpt7oM%3D&ehkOptimized=7f2apEtXCt6cDdpJxx%2BoeckcRAdyazkcFaq1F4hiz2A%3D'}]
22;Mortal Kombat X;[{'url': 'https://images.start.gg/images/videogame/22/image-b993a4772c158f749fa2c6db2afa57fa.jpg?ehk=qo5alBaaXSWY5H9A4dmOjit9KUhx3CMZWry6wLGBOCE%3D&ehkOptimized=45jRcmV%2Fq9Hmqtj7DuD6g2djDVcqxFIBQA9H7vi5Ln4%3D'}, {'url': 'https://images.start.gg/images/videogame/22/image-11188a575fa42f5c823a4d6d1f7ea983.png?ehk=ct2ra8XkRr97yql5VNJNUTKmlNRleu9OJOtq4s8LYiY%3D&ehkOptimized=9V5a2rHmMURXDRl60DVXlvEUrpJP0dZOS9fpy5zrRnQ%3D'}]
